wilderness	n. 荒野, 荒地
threaten	vt. &vi. 威胁,构成威胁
alarming	adj. 惊人的, 吓人的
astonish	v. 使...惊讶
corporation	n. 公司, 法人, 集团
obsolete	adj. 已废弃的, 过时的
colleague	n. 同事
incline	n. 倾斜, 斜坡, 斜面 v. 使...倾向, 爱好, 易于
include	v. 包括,包含,连...在内 [计算机] 包括
opposition	n. 反对,敌对,在野党
increase	v. 增加, 提高 n. 增加, 增强, 提高
orbital	adj. 轨道的，眼窝的 n. 【数学】轨函数
minority	n. 少数, 少数民族, 未成年
origin	n. 起源,出身,开端
radical	n. 激进份子,原子团,激进派 adj. 急进的,根本的,激进的,基本的,彻底的
commodity	n. 商品, 日用品
acclaim	n. 喝彩, 欢呼, 赞同 v. 欢呼, 喝彩, 称赞
impede	v. 妨碍,阻碍,阻止
manual	adj. 手工的,体力的 n. 手册,指南,键盘
weapon	n. 武器, 兵器
fallacy	n. 谬论
involvement	n. 包含, 缠绕, 混乱, 复杂的情况
constitute	vt. 构成,建立,任命
outline	n. 大纲,轮廓,概要,略图,素描 vt. 描画轮廓,描述要点
variance	n. 不一致, 变化; [数]方差
contamination	n. 污染,污染物
well	n. 井,源泉,楼梯井 adj. 健康的,良好的,适宜的 adv. 很好地,适当地 vi. 涌出 interj. 好吧,啊
institute	n. 学会,学院,协会 vt. 创立,开始,制定
unfamiliar	adj. 不熟悉的
curiosity	n. 好奇, 好奇心
unavoidable	adj. 不可避免的
coordination	n. 同等,调和
tend	vt.照料，照顾； 护理； 照管，管理 vi.倾向（于），趋向（于）； 伺侯，招待； 关心； 注意
installment	n. 分期付款(安装, 一期)
customary	adj. 习惯的, 惯例的
calculator	n. 计算器
exhibition	n. 展览,展览会
damage	n. (pl.)赔偿金,损坏,毁坏 vt. 损害,毁坏
integral	adj. 构成整体所必需的,完整的 n. [数学] 积分, 完整, 部分
introduce	vt. 介绍, 引进, 采用, 提出, 提倡, 放入
vegetation	n. 植物,草木,(植物)生长
wild	adj. 放荡的,未开发的,野生的,原始的 n. 荒野,野生状态 adv. 野性地,未被约束地,偏离预计路线地
sensation	n. 感觉,感知力,激动,轰动
invisible	adj. 看不见的,无形的 n. 隐形人(或物品)
obligatory	adj. 强制性的, 义务的, 必须的
rely	v. 信赖,倚赖,信任
decade	n. 十年
quest	n. 探索,寻求 vt.& vi. 寻找,追寻猎物
claimant	n. 申请者, 要求者, 索偿人
depression	n. 沮丧,萧条
capital	n. 首都,资本,大写字母 adj. 大写的,资本的，首要的
fabric	n. 织物, 布, 结构
carbon	n. 碳,灯芯,复写纸
facility	n.设备； 容易； 能力； 灵巧
discouraging	adj. 令人气馁的 vbl. 使...气馁
assign	v. 分配,指派 n.[计算机] DOS 命令将驱动器符重指向第二个驱动器符
internal	adj. 国内的, 内在的，身体内部的
journalist	n. 记者, 新闻工作者
thrive	vi. 兴旺,繁荣
incentive	adj. 刺激的, 鼓励的 n. 刺激, 鼓励, 动机
lava	n. 熔岩, 火山岩
fruitless	adj. 不成功的, 无结果的
bestow	vt. 授予,适用,利用
inequity	n. 不公平,不公正
nutritious	adj. 有营养成份的,营养的
resemble	v. 相似, 类似, 像
density	n. 密集,密度,透明度
sneer	n. 冷笑, 嘲笑 v. 嘲笑, 冷笑
fancy	n. 想像力, 幻想, 喜好, 爱 adj. 想像的, 时髦的, 华丽装饰的, 奢侈的, 技巧的 vt. 想象, 自认为, 喜好
destructive	adj. 破坏性的, 有害的
legible	adj. 清晰的, 易读的，可辨认的
zoological	adj. 动物(学)的
permanent	adj. 永久的, 持久的 n. (口)烫发
cease	n. 停止 vt. &vi. 停止,终了
distract	vt. 转移,分心
tiny	adj. 极小的,微小的
amiable	adj. 和蔼的, 亲切的
destroy	vt. &vi. 破坏,毁坏 [计算机] 撤消
favour	[英]n. 偏爱；赞同；善行 vt. 赞成；喜爱；有助于
formation	n. 构造,编队,形成
certificate	n. 证(明)书,执照 vt. 批准，认可，发证书给...
federation	n. 联邦, 联合, 联盟
antibiotic	adj. 抗菌的 n. 抗生素
motivate	v. 给与动机,刺激,提高...的学习欲望
tolerance	n. 忍耐力,宽容,容忍,公差
stationery	n. 文具,信笺
chart	n. 图表 vt. 制成图表
fertility	n. 肥沃, 丰饶, 生产力
elapse	v. 逝去, 过去
audience	n. 听众, 观众, 读者, 拥护者, 倾听, 正式会见
luxuriant	adj. 繁茂的, 丰富的, 肥沃的
articulate	adj. 有关节的,发音清晰的 vt. &vi. 以关节连接,接合,明白地说
cognition	n. 认识, 认识力, 知觉
elevate	vt. 举起,提拔,素养提升，鼓舞 vi. 变高
avert	vt. 转开,避免,防止
industrialise	v. (使)工业化 =industrialize(美)
relative	adj. 相对的,比较的,涉及到的 n. 亲属,同类事物,相关物
specialisation	n. 专门, 专业化 =specialization(美)
aware	adj. 知道的, 意识到的
advantageous	adj. 有利的，有助的，有益的
endorse	vt. 背书；认可；签署；赞同；在背面签名
revoke	vt. 撤回(回想) n. 取消(回想)
enhance	vt. 提高,加强,增加
discharge	vt. &vi. 放出,解雇,放电,解除, 清偿债务 n. 释放，卸货，放电，一股，一阵，开火，发射，准许离开
lexical	adj. 字典的, 语句的
stressful	adj. 紧张的, 压力重的
purchase	n. 购买, 购买的物品 n. 支点; 紧握, 抓紧 vt. 购买, 赢得; (用设备)举起, 移动
certify	vt. 证明,保证,证实,颁发证书
monopoly	n. 垄断,专利, 独占，控制
optics	n. 光学
applause	n. 鼓掌, 喝彩, 赞许
diverse	adj. 不同的,相异的,多种多样的
sociologist	n. 社会学家
policy	n. 政策, 方针, 保险单
distinction	n. 区别; 卓越; 殊荣
political	adj. 政治的, 政党的, 派系斗争的, 有政治头脑的
subsidy	n. 补助金, 津贴
populace	n. 平民, 大众
consensus	n. 共识，一致，合意 n. [生理]交感
starve	v. 使饿死, 饿得要死
invaluable	adj. 无价的
population	n. 人口
contaminate	vt. 弄脏,污染
prescription	n. 药方, 对策, 开处方
status	n. 地位, 身份, 情形, 状况
fluid	adj. 流畅优美的,流体的,流动的,不稳定的 n. 流体,液体
niche	n. 壁龛；合适的职业；商机，有利可图的市场(或形势等)； vt. 放入壁龛
ultimately	adv. 最后,最终
crucial	adj. 关键的,决定性的
potential	adj.潜在的，有可能的； [语法学]可能语气的，表示可能性的； 有能力的 n.潜力，潜能； [物]电位，势能； 潜能的事物； [语]可能语气
degenerate	adj. 堕落的 v. 退化, 堕落 [计算机] 退化
disapprove	v. 不赞成
reverse	n. 相反; 背面; 失败, 挫折 adj. 反面的, 相反的, 颠倒的 v. 颠倒, 逆转, 倒退
naturalism	n. 自然，自然主义
pasture	n. 牧场 v. 吃(草) vt. 放牧
lead	n. 铅, 领引, 榜样 v. 引导, 带领, 以铅接合; 过...(的生活)
blight	n. 枯萎病 n. 导致破坏的因素 v. (使）枯萎
combination	n. 结合,联合，联合体
psychic	adj. 灵魂的, 精神的, 心灵的, 通灵的 n.通灵的人
store	n. 商店,贮藏,仓库 vt. 储存,贮藏,供给,保存 adj. 储备的 (在计算机里)存贮；记忆
optimism	n.&amp;adj. 乐观,乐观主义
ominous	adj. 预兆的,不祥的
inductive	adj. 归纳的,动人的 adj. [电]感应的
donor	n. 捐赠人 [计算机] 施主
press	vt.压，按； 逼迫； 紧抱 vi.压； 逼迫； 重压 n.强迫征兵； 新闻报道，出版物； 压榨； 印刷机（厂）
elite	n. 精华, 精锐, 中坚份子
formulate	vt. 规划；用公式表示；明确地表达
influenza	n. 流行性感冒
labor	n. 工作, 劳动, 劳力, 劳方 vt. 苦干, 劳动, 分娩, 阵痛, 致力于 vi. 过分详尽阐述 adj. 劳工的, 劳动的
immense	adj. 巨大的,广大的,非常好的
principal	adj. 主要的 n. 负责人, 校长, 资本
theft	n. 偷窃
impose	vi. 利用；欺骗；施加影响 vt. 强加；征税；以…欺骗
union	n. 联盟,结合,政党,工会,连接轴 adj. 联邦政府的,工会的
anxiety	n. 焦虑,挂念,担心,渴望,热望
observer	n. 观察者
validity	n. 有效性,正确性,正当
product	n. 产品,成果,乘积
comparison	n. 比较
congestion	n. 混杂,拥挤,过剩 [计算机] 拥挤
glossary	n. 字典,辞典 [计算机] 词汇表
occurrence	n. 发生,事件,发现
project	n. 工程,项目,计划,事业 v. 计划,设计,表达 v. 投射,放映,凸出
suffer	vt. 遭受,忍受,允许 vi. 忍受,经历
comprehensive	adj. 综合的, 广泛的, 理解的
proof	adj. 防...的,耐...的,能防护 n. 校样,证据,证明 vt. 检验,给...做防护措施
broaden	v. 变宽, 伸广
fuel	n. 燃料,木炭 vt. 供以燃料 vi. 加燃料
ash	n. 灰, 灰烬
earnest	n. 真诚,重要的东西,定金,保证 adj. 真诚的,重要的
gaunt	adj. 憔悴的, 荒凉的
logic	n. 逻辑(学),逻辑性,合理的推理
conduct	n. 行为, 举动, 品行 v. 引导, 指挥, 管理 vt. 导电, 传热
plateau	n. 高原;平稳;稳定状态 vi. 到达平稳阶段
grassy	adj. 绿色的 像草的
continuous	adj. 连续的, 继续的, 连绵不断的
publish	vt. 出版,发行,公开发表 vi. 出版,发行
edition	n. 版, 版本
efficient	adj. 效率高的,有能力的
accent	n. 重音,口音,强调 vt. 重读,强调
conscious	adj. 神志清醒的,意识到的,自觉的,有意的 n. 意识
access	n.入口，出口； 接近，进入； 增长； 爆发 vt.接近，进入； 使用，接近，获取
generate	vt. 产生,发生,引起 [计算机] 产生
wholesome	adj. 有益健康的, 合乎卫生的, 健全的
conservation	n. 保存, 防止流失, 守恒, 保护自然资源
intricate	adj. 复杂的,错综的,缠结的,难懂的
succession	n. 连续, 继承权, 继位
vast	adj. 广阔的,巨大的 n. 浩瀚的太空
purple	adj. 帝王的,紫色的,辞藻华丽的 n. 紫色,皇室,皇权 vi. &vt. 变紫
prevalent	adj. 流行的, 普遍的
commercialise	vt.使商业化 =commercialize(美)
vertical	adj. 垂直的,顶点的,纵向的 n. 垂直物, 垂直的位置
acquire	vt. 占有,获得,取得,学到
perpetual	adj. 永恒的,永久的,一再往复的
settle	n. 有背的长凳 vt. 安放,安顿,解决,决定,付清(欠款) vi. 定居,降落
licence	n. 执照,许可,特许,自由,放纵 vt. 同意,许可
sympathetic	adj. 同情的,共鸣的 n. 交感神经
victim	n. 受害者,牺牲
blase	adj. 对享乐感到厌倦的, 无动于衷的，非常世故的
historic	adj. 有历史意义的
mortify	v. 抑制,苦修,使...悔恨
vision	n. 视觉,先见之明,光景,视力,眼力,幻想，影像 vt. 幻想
philosophical	adj. 哲学的, 冷静的, 哲学上的
cooperate	vi. 合作,协力
garble	vt. 断章取义, 曲解，混淆 n. 断章取义，混淆
volcano	n. 火山
potentiality	n. 可能力,潜在力,可能性
infection	n. 传染, 影响, 传染病
mortality	n. 必死的命运,死亡数目,死亡率
distinguish	vt. 区别,辨认,特别关注 vi. 区别
hypothesis	n. 假设, 猜测, 前提
glare	n. 闪耀光, 刺眼 v. 发眩光, 瞪视
disruption	n. 分裂, 毁坏
conventional	adj. 普通的,常见的,习惯的,常规的
compensate	vt. &vi. 偿还,补偿,付报酬
recession	n. 后退,凹入的地方,不景气
influence	vt. 影响, 感化 n. 影响力, 势力; 影响, 权势 n. 有影响的人(或事物)
ambition	n. 雄心,野心,抱负,精力 vt. 有...野心,追求
essential	adj.基本的； 必要的； 本质的； 精华的 n.必需品； 基本要素； 必不可少的东西
ridiculous	adj. 可笑的；荒谬的
refinery	n. 精练厂
physiological	adj. 生理的, 生理学的
phenomena	n. 现象
cultivation	n. 教化, 培养, 耕作
confusing	adj. 使人困惑的, 令人费解的 动词confuse的现在分词
sedimentation	n. 沉淀，沉降
overcome	vt. 战胜,克服,(感情等)压倒, 使受不了 vi. 获胜, 赢
recognize	vt. 认出,认可,承认,意识到,表示感激
revive	vt. 使重生,恢复精神,重新记起,唤醒 vi. 复生
feign	vt. 假装，捏造 vi. 假装, 装作
sensitive	adj. 敏感的,灵敏的,易受伤害的,感光的,善解人意的  n. 敏感的人
mathematics	n. 数学
curious	adj. 好奇的,古怪的
indigenous	adj. 该土地所固有的,土著的,国产的
exception	n. 除外,例外
gradual	adj. 逐渐的, 逐步的
pack	n. 包裹,一群,一副,一帮,一群 vt. 包装,捆扎,塞满, 收拾行李， 佩戴 vi. 包装，（用某物）保存，保藏 ,塞进
symbol	n. 符号, 标志, 象征
candid	adj. 忠实的, 率直的, 坦诚的
euphemism	n. 婉言, 委婉的说法
therapy	n. 疗法,治疗
preference	n. 偏爱,优先,喜爱物
measurement	n. 测量,衡量,尺寸,大小
exhibit	n. 展览品,展览,物证 vt. 展览，展现，显出(感情或品质),提出证据 vi. 展览
pane	n. 窗玻璃, 方框, 方格 v. 嵌窗玻璃
damp	n. 毒气,湿气,丧气 adj. 潮湿的 vt. 呛,抑制,使潮湿 vi. 衰减
gravity	n. 地心引力,重力,严重,庄重,严肃
responsive	adj. 回答的, 应答的, 易感应的
virile	adj. 男性的, 男的, 有男子气概的, 精力充沛的
explanation	n. 解释, 说明
depletion	n. 消耗,罄尽,放血
interfere	vi. 妨碍,冲突,干涉
canal	n. 运河,沟渠,气管,食管 vt. 建运河,疏导
merchant	n. 商人,店主,专家 adj. 商业的
whaling	n. 捕鲸(业) 动词whale的现在分词形式
thief	n. 贼,小偷
solar	adj. 太阳的,太阳能的
detachment	n. 分离，分遣，冷漠，公正
render	vt. 使成为, 提供, 报答, 着色; 执行, 实施 vi. 给予补偿 n. 交纳, 粉刷, 打底
ambiguous	adj. 模棱两可的
assume	vt. 假定, 设想, 承担; (想当然的)认为
simultaneous	adj. 同时发生的,同步的
diagnose	v. 诊断 vi. 判断,诊断(疾病) vt. 诊断(疾病)
adolescence	n. 青春期
refrain	n. 重复, 叠句, 副歌 v. 节制, 避免, 克制
delicate	adj. 细致优雅的,微妙的,美味的 adj. 淡色的,淡味的 adj. 娇弱的,纤细的
democratic	adj. 民主的, 大众的, 平等的
residence	n. 住处, 住宅, 居住
departure	n. 离开,出发,分歧
precedent	adj. 在前的,在先的 n. 先例,前例
dam	n. 水坝 vt. 筑坝,抑制(情感）等
resolve	n. 决定之事,决心,坚决 vt. 决定,解决,分离,表决 vi. 分离,决定
respective	adj. 各自的, 分别的
fascinating	adj. 迷人的
regular	adj. 有规律的,有规则的,整齐的,正规的
sort	n. 种类,样子,态度 v. 分类,整理,排序 n.[计算机] DOS命令 : 在字符型文件中进行数据排序, 或者将DOS命令的输出进行排序
dominant	adj. 占优势的，主导的，显性的 n. 主宰者
determination	n. (正式)决定,规定,决心,测定, 定位
feasible	adj. 可行的,可能的
spite	n. 恶意, 怨恨 vt. 刁难, 伤害
attach	v. 附上, 系上, 贴上, 使依恋
reveal	vt. 显示, 透露 n. (外墙与门或窗之间的)窗侧, 门侧 n. (汽车的)窗框
scenery	n. 布景,风景,背景
characteristic	adj. 特有的, 典型的 n. 特性, 特征, 特色
economics	n. 经济学
accredited	adj.被认可的，可接受的，委任的 动词accredit的过去式和过去分词
specific	adj. 特殊的, 明确的, 具有特效的 n. 特效药, 特性, 详情
poignant	adj. 悲伤的,痛切的，严厉的, 尖锐的, 剧烈的，浓烈的
linguist	n. 语言学家
extraordinary	adj. 非凡的,特别的,特派的
accessory	adj. 附属的(副的,辅助的) n. 附件，同谋
merchandise	n. 商品,货物 vt. &vi. 经营,推销, 销售, 经商
syllabus	n. 摘要,课程表
arrogant	adj. 傲慢的, 自大的
rival	n.对手； 竞争者 vt.与…竞争； 比得上某人 vi.竞争 adj.竞争的
trace	n. 痕迹,踪迹,微量 vt. 追踪,找出根源,描绘 vi. 追踪
assail	vt. 猛烈攻击，言语抨击
affirm	vt. 证实,断言,肯定 vi. 断言,申明
socialise	v. 来往，交往，交际，（使)社会化 =socialize(美)
string	n. 线,一串,字串 vt. 串起,成串,收紧, 悬挂；系；扎 vi. 给…装弦 adj. 线的
tradition	n. 传统, 惯例
suitcase	n. 手提箱
applicant	n. 申请人
attest	v. 证明, 作证, 为...作证
transfer	n. 迁移, 移动, 换车 v. 转移, 调转, 调任
equivalence	n. 相等, 等值
escalate	vt. 扩大,升高,增强 vi. 逐步升级
dispose	vt. 倾向于,处置 vi. 销毁
dispute	n. 争论; 争吵 vi. 争论, 争执 vt. 争论; 质疑; 争夺; 抵抗
evasive	adj. 逃避的,回避的,托辞的
futile	adj. 无效的, 无用的
conduction	n. 传导
flood	n. 洪水,水灾 v. 淹没,溢出 vi. 大量涌到,泛滥 vt. 灌溉,淹没
assert	vt. 主张,声明,断言
fragile	adj. 易碎的,脆的,精细的
statistical	adj. 统计的, 统计学的
negligent	adj. 疏忽的, 粗心的, 不在意的
accountant	n. 会计人员
notify	v. 通知,通告,报告
unanimous	adj. 全体一致的, 一致同意的
account	n.账，账目； 存款； 记述，报告； 理由 vi.解释； 导致； 报账 vt.认为； 把…视作
dissent	n. 异议 v. 持异议
patterning	n. 制作布线图案(集成电路的图案形成)
hostile	adj. 怀敌意的,敌对的
fabulous	adj.极好的，极妙的； （美貌）惊人的； 寓言般的； 难以置信的
practical	adj. 实际的,实用的,明智的 n. 实践考试
communicative	adj. 健谈的，爱说话的, 畅谈的
issue	n. 问题；流出；期号；发行物 vt. 发行，发布；发给；放出，排出 vi. 发行；流出；造成…结果；传下
pseudonym	n. 匿名, 假名, 笔名
preferable	adj. 更好的, 更合意的
fluctuation	n. 波动,起伏
commitment	n. 委托,实行,承诺,保证(律）拘禁令，奉献，献身
identify	vt.识别，认出； 确定； 使参与； 把…看成一样 vi.确定； 认同
ultimate	n. 终极,根本，精华 adj. 终极的,根本的,极限的,最后的
ignore	vt. 不顾,不理,忽视
hierarchical	adj. 按等级划分的
drift	n. 漂移,漂流物,观望,漂流,吹积物,趋势 vi. 漂移,漂流,吹积 vt. 使漂流,把...吹积
imitate	v. 模仿 vt. 仿制,仿造,模仿,仿效
intension	n. 加强，强度 [逻]内涵
collector	n. 收集家, 收税员
particulate	n. 微粒子，微粒状物质 adj. 微粒的
unit	n. 单位, 单元
produce	n. 产品, 农作物 vt. 生产, 提出, 引起, 分娩, 制片 vi. 生产, 制造
profit	n. 利润, 盈利比率，利益 vi. 利用，获利 vt. 有益于
duration	n. 持续时间，期间
notification	n. 通知单,通告,告示 [计算机] 通知
sufficient	adj. 足够的, 充分的
virtual	adj. 虚拟的；有效的；实质上的，事实上的
prejudice	n. 偏见,成见,伤害 v. 使...存偏见,使...有成见,伤害
seed	n. 种子 vi. (植物)结实,播种 vt. 播种
implore	v. 恳求, 哀求
block	n.块； 街区； <英>大楼，大厦； 障碍物，阻碍 vt.阻止； 阻塞； 限制
concept	n. 概念, 观念
selection	n. 选择,挑选,挑选出来的人或事
heritage	n. 遗产, 继承物
provide	vi. 供给, 提供 vt. 提供; 规定; 准备
genetics	n. 遗传学
support	n. 支持, 援助, 供养 vt. 支援, 帮助, 支持
eruption	n. 爆发,喷发，出疹，长牙
penalize	v. 处刑, 宣告有罪, 处罚，使不利
habitual	adj. 惯常的, 习惯的
immune	adj. 免除的,免疫的 n. 免疫者
separation	n. 分离, 分居, 缺口
value	n. 价值, 重要性, 价格, (pl)价值观 vt. 评价, 估价, 重视
retailer	n. 零售商(店)
consequently	adv. 所以, 因此
genius	n. 天才, 高智力, 天赋
administrator	n. 管理人,行政官
release	n. 释放, 让渡, 发行 vt. 释放, 让与, 准予发表, 发射
elementary	adj. 基本的,初级的,元素的
accustomed	adj. 习惯了的,通常的
quarrel	n. 吵架,争论,怨言 vi. 吵架,争论,挑剔
pressing	adj. 紧迫的,紧急的,切实的 vbl. 压迫
migration	n. 移民,移往,移动
harass	v. 使...困扰,使...烦恼,反复袭击
prolong	vt. 延长,拖延
administration	n. 行政,管理,中央政府
employer	n. 雇主
advanced	adj. 高级的, 先进的
defend	vt. &vi. 防护,辩护,防卫
optical	adj. 眼睛的, 视觉的, 光学的
optimistic	adj. 乐观的, 乐观主义的
quotation	n. 1．引语,语录  2．报价单  3．行情表
nutrient	adj. 营养的,滋养的 n. 营养物,营养品
volume	n. 体积, 容量, 音量 n. 卷, 册
shift	n. 交换,变化,移动,接班者 vt. 更替,移转,变声 vi. 改变,定责,更衣
radiation	n. 辐射,放射线
radio	n. 收音机,无线电 vt.& vi. 用无线电通讯
esteem	n. 尊敬 vt. 认为,尊敬
organ	n. 风琴,器官,机构,机关报刊
humiliate	v. 使...丢脸,使...蒙羞,屈辱
glance	vi.一瞥； 闪微光； 掠过，擦过； 随便提到，简略地触及 n.浏览； 闪光； 歪斜，一掠
random	n. 随意,任意 adj. 任意的,随便的,胡乱的 adv. 随机地
introvert	n. 个性内向者 vt. 使...内向
range	n.范围； 射程； 类别； （山脉，房屋等的）排列 vi.搜索； 变化； 延伸； 漫游 vt.排列； （按一定位置或顺序）排序； 把…分类； 徘徊 adj.牧场的，放牧区的
equality	n. 同等, 平等
burden	n. 负担, 重载 v. 使负重, 装载, 烦扰
completion	n. 完成,完满
inferior	adj. 次等的, 较低的, 不如的
rational	adj. 合理的,理性的,能推理的 n. 有理数
recreation	n. 消遣, 娱乐
generally	adv. 一般地
conception	n. 概念,观念,构想,怀孕
critic	n. 批评家, 评论家
critical	adj.批评的，爱挑剔的； 危险的，危急的； 决定性的； [物]临界的
criticism	n. 批评,评论
significant	adj. 有意义的, 意味深长的; 相当数量的; 重要的, 重大的 n. (复)有意义的事物; 标志
insert	n. 插入物 vt. &vi. 插入
inclination	n. 倾向, 意愿, 倾斜度
inspection	n. 检查,视察
simplicity	n. 单纯, 简朴
incredible	adj. 难以置信的, 惊人的
convenience	n. 适宜，便利, 便利设施，方便的时间，舒适
erroneous	adj. 错误的, 不正确的
institution	n. 机构,惯例,创立
correspondence	n. 通信；一致；相当
instruction	n. 说明,须知,指令,教学
stationary	adj. 不动的(稳定的) n. 固定物(驻军)
examine	vt.检查，调查； 考试； 诊察； 审问 vi.检查； 调查
temper	n. 脾气；（钢等）回火；性情；倾向 vt. 使回火；锻炼；调和；使缓和 vi. 回火；调和
exceed	vt. 超过, 胜过, 超出界限 vi. 领先
mature	adj. 成熟的, 到期的, 充分发育的, 考虑周到的 vt. 使...成熟, 长成 vi. 长成, 成熟; 到期
panel	n.镶板； 面； （门、墙等上面的）嵌板； 控制板 vt.选定（陪审团）； 把…分格； 在…上置鞍垫； 把…镶入框架内
intense	adj. 非常的,强烈的,紧张的,热情的
initiative	adj. 创始的, 初步的, 自发的 n. 第一步, 首创精神; 主动权
tendency	n. 趋势,倾向
mean	n.平均值, 平均数; 中部 adj. 低劣的, 卑贱的; 卑鄙的; 吝啬的 adj. 平均的, 中等的 v. 意味, 想要, 意欲
database	n. 数据库
refute	vt.驳斥，驳倒； 否认真实性
infringe	v. 破坏, 犯, 违反
exist	v. 存在
gratitude	n. 感谢的心情
severity	n. 严格, 严重, 激烈
innate	adj. 天生的,固有的
demise	n. 死亡,转让房产,让位 vt. 让渡,遗赠,转让 vi. 遗赠,死亡
expectation	n. 期待,期望 v. 期待,前程
declaration	n. 宣布, 宣言
slight	n. 轻蔑 adj. 轻微的,纤细的,脆弱的 vt. 轻视,忽略
sadistic	adj. 虐待性变态症的,残酷成性的
adjacent	adj. 毗连的,邻近的,接近的
stimulus	n. 刺激, 激励, 刺激品
provision	n. 规定, 条款; 供应(品); 预备 n. (pl.) 食物 vt. 向...供应食物
offspring	n. 子孙, 后代, 产物
methodical	adj. 有方法的,有系统的
cancel	n. 取消,撤消 vt. 取消,删去, 约分 vi. 抵消
ale	n. 麦芽酒, 乡下啤酒节
deliberate	adj. 故意的,深思熟虑的, 从容不迫的 vi. 仔细考虑 vt. 研讨
remark	n. 备注,评论,注意 vt. 评论,注意,述及
predictor	n. 预言者
supervise	vt. 监督,管理,指导
factor	n. 因素,因子 vt. 把…因素包括进去 vi.作为因素
portfolio	n. 文件夹，作品集，证券投资组合
bacterial	adj. 细菌的
deviation	n. 偏差数, 偏离，出轨，背盟
economy	n.节约； 经济； 理财； 秩序
superb	adj. 极好的
procrastinate	v. 延迟, 迁延, 耽搁
ambiguity	n. 不明确,含糊,暧昧,模棱两可
judge	vt.& vi.审判，评判； 断定 vt.估计； 评价； （尤指）批评； 想，认为 n.法官； 裁判员； 评判员； 鉴定人
handle	n. 柄,把手 vt. 买卖,处理,操作 vi. 驾驭
extrovert	n. 性格外向的人 =extravert
deliver	vt.发表； 递送； 交付； 使分娩 vi.投递； 传送
ritual	n. 仪式,典礼,宗教仪式,固定程序 adj. 仪式的,依仪式而行的，老规矩的，惯常的
reservoir	n. 水库,蓄水池,积蓄,储藏
reflex	n. 反射(映象,回复,习惯性思维) adj. 反射的(来复的)
ecological	adj. 生态的, 生态学的
dispatch	n. 派遣；急件 vt. 派遣；分派
grateful	adj. 感激的, 感谢的
depress	vt. 使...沮丧,按,降低 [计算机] 降低
resort	n. (渡假)胜地, 手段, 凭借 vi. 诉诸, 常去
respond	vi. &vt. 回复,反应，响应，应答 n. 拱柱
respectful	adj. 表示尊敬的, 有礼貌的, 谦恭的
obsession	n.[U]痴迷；困扰,成见  [C]使人痴迷的人（或物）
disturbance	n. 扰乱,骚动
cell	n. 细胞, 电池, 小组, 小房间, 单人牢房, (蜂房的)巢室, 手机
title	n. 头衔,名称,标题,所有权,资格,冠军 vt. 赋予称号,加标题于 adj. 标题的
antagonist	n. 敌手, 对手，[医]对抗剂,[生理]对抗肌
adjustment	n. 调整
carbolic	adj. 碳的, 用煤焦油制成的
unify	v. 统一,使成一体
federal	adj. 联邦的 n. 同盟盟友
dialect	n. 方言
analyze	v. 分析,分解 vt. 分析
fetal	adj. 胎儿的,胎的
difference	n. 差异,分歧 vt. 引起区别
fiber	n. 纤维(物质),力量
socialize	vt. 使...社会化，使...社会主义化，使适应社会需要 vi. 交际
gallery	n. 美术馆, 画廊, 顶层楼座, 狭长的房间
spin	n. 旋转, 疾驰 v. 纺织, 旋转, 拉长
studio	n. 工作场所,画室，照相室，制片厂
diligent	adj. 勤奋的, 用功的
dimension	n. 尺寸, 次元, 容积, 维度 n. 范围; 方面 vt. 标尺寸; 形成...尺寸
photosynthesis	n. 光合作用
misinterpret	v. 误解
mining	n. 采矿, 矿业
brochure	n. 小册子
brutal	adj. 野蛮的,残暴的
merge	vt. &vi. 合并,消失,吞没, 融合 [计算机] 合并
collaborative	adj. 协作的,合作的
alternate	adj. 交替的, 轮流的, 间隔的 vt. &vi. 交替, 轮流
concise	adj. 简明的, 简要的
module	[计算机] 模块 n. 组件
transmission	n. 传输, 播送, 变速器, 传递的信息
stage	n. 阶段,舞台,驿站 v. 上演,表演,乘驿车旅行
fluency	n. 流利，流畅
behave	vt. &vi. 举止,行为,举止端正
hire	vt.聘用； 录用； 雇用； 租用 vi.受雇； 得到工作 n.租金； 酬金，工钱； [非正式用语] 被雇佣的人； 销售部的两个新雇员
signification	n. 意义，示意，重要性
classification	n. 分类,分级
classify	v. 分类,归类,分等
exploration	n. 探险,踏勘,探测
standard	n.标准，规格； 旗，军旗； 度量衡标准； 直立支柱 adj.标准的，合格的； 普遍的，一般的； 公认为优秀的
proponent	n. 建议者,支持者
mundane	adj. 世俗的，平凡的；世界的，宇宙的
succinct	adj. 简洁的 adj. [古]紧身的
exhaustive	adj. 无遗漏的, 彻底的, 详尽的
assumption	n. 假定,设想,担任(职责等),假装
exotic	adj. 异国的,外来的,奇异的,脱衣舞的 n. (复数)异国风格的事物,脱衣舞者
cooperation	n. 合作, 协作
automate	v. 自动化 vt. 使自动化
nocturnal	adj. 夜的 n. 夜间时刻测定器
coherent	adj. 互相耦合的,清晰的，明了的，凝聚性的,连贯的
sincere	adj. 真诚的, 诚挚的
domestic	adj. 国内的, 家庭的, 驯养的 n. 家仆, 佣人
hypothesize	v. 假设, 假定, 猜测
admire	vt. 钦佩, 羡慕, 赞美
advance	n. 前进,进步,预支 vt. 前进，增涨，预先 vi. 前进，提升 adj. 预先的，提前的
